ownerUsername,timestamp,caption,hashtags/0,hashtags/1,hashtags/2,hashtags/3,hashtags/4,hashtags/5,hashtags/6,hashtags/7,hashtags/8,hashtags/9,hashtags/10,hashtags/11,hashtags/12,hashtags/13,hashtags/14,hashtags/15,hashtags/16,hashtags/17,hashtags/18,hashtags/19,hashtags/20,hashtags/21,hashtags/22,hashtags/23,hashtags/24,hashtags/25,hashtags/26,hashtags/27,hashtags/28,hashtags/29,likesCount,commentsCount,,
thecapitolhoteltokyu,2026-01-06T12:03:01.000Z,"? ????????? ?
????????????????????????????????????????

A gentle pause for mind and body. A moment of balance, even while away from home.

#TheCapitolHotelTokyu #??????????? #????? #TokyoHotelAkasaka",TheCapitolHotelTokyu,???????????,?????,TokyoHotelAkasaka,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,,
thecapitolhoteltokyu,2025-12-31T02:58:40.000Z,"????????????????????????????????????...

??10????15???????????????
2026???????????????????????????????

As the year comes to a close, we offer our heartfelt thanks to everyone who has walked through our doors.
This October, The Capitol Hotel Tokyu marked its 15th anniversary.
We wish you a happy New Year, filled with peace, good health, and beautiful moments — and we look forward to welcoming you again in the year ahead.

#TheCapitolHotelTokyu #??????????? #??????",TheCapitolHotelTokyu,???????????,??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,661,13,,
thecapitolhoteltokyu,2026-01-10T12:00:00.000Z,"????????????????????… @thecapitolhoteltokyu 

???????????????????
????????????????????????????????????????????
?2026?1?15????????????????????

A moment of indulgence awaits beyond the quiet corridor.
Enjoy a private afternoon tea in the comfort of your room, where time slows, and every detail is yours alone.
A refined tea experience, savoured in complete privacy.
From 15 January 2026, the afternoon tea will be available in a strawberry edition.

#??????????? #??????????? #???????????? #CapitolMoments",???????????,???????????,????????????,CapitolMoments,,,,,,,,,,,,,,,,,,,,,,,,,,,333,0,,
thecapitolhoteltokyu,2025-12-29T12:09:21.000Z,"????????????????????????????????????????????????????????????????????????????????
 
Just steps from the hotel, Hie Shrine is one of Tokyo’s most cherished spiritual landmarks.
Known for blessings of protection, good fortune and harmony, it offers a peaceful moment to reflect and welcome the year ahead.
 
#??????????? #TheCapitolHotelTokyu #????",???????????,TheCapitolHotelTokyu,????,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,0,,
thepeninsulatokyo,2025-12-31T23:46:12.000Z,"????????????????????
??????????????????????????????????????
???????????????????

?????????????????????????????????????????????????????????????

Here’s to 2026. A new year begins. ??

From all of us at The Peninsula Tokyo, we wish you a year of warmth, care, and moments worth remembering. Happy New Year!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531,3,,
thepeninsulatokyo,2025-12-11T09:46:15.000Z,"??????????????????????

??????????????????????????????????????????????????????????????????????????

??????2025?12?25??????

Start the year with tradition and taste.

The Peninsula Tokyo’s Osechi boxes offer a journey of seasonal flavors, thoughtfully crafted to bring joy, harmony, and prosperity to your New Year table.

Reserve yours by December 25, 2025, through the link in our bio.",thepeninsulatokyo,newyearseve,osechi,japanesetradition,?????????,????????,?????,???,???,,,,,,,,,,,,,,,,,,,,,,529,4,,
thepeninsulatokyo,2025-12-24T10:16:16.000Z,"??????????
??????????????????????????????

Christmas Eve at The Peninsula Tokyo??
With warm holiday wishes, thank you for sharing this festive season with us.",????????,???????,???,?????,???????,??????,????,???,thepeninsulato,luxuryhotel,festive,Christmas,festiveseason,winter,happyholiday,,,,,,,,,,,,,,,,620,8,,
parkhyatttokyo,2026-01-08T08:30:16.000Z,"The newly redesigned guest rooms evolve the warmth and quiet elegance of a private residence into a more refined sanctuary. Designed by Studio Jouin Manku, the interiors feature a soft palette of beige and green, custom-made furniture, warm wood finishes, and gently curved forms that create an open yet intimate atmosphere.?
?
As magic hour settles over Tokyo, the room becomes a calm retreat above the city.?
?
???????????????????????????????????????????????????????? ??????????????????????????????????????????????????????????
?
????????????????????????????????????????????????????
?
----------------------------------?
#ParkHyattTokyo? #ParkHyatt?
?#LuxuryIsPersonal?
#??????????? ?
#?????????",ParkHyattTokyo?,ParkHyatt?,LuxuryIsPersonal?,???????????,?????????,,,,,,,,,,,,,,,,,,,,,,,,,,840,3,,
parkhyatttokyo,2026-01-12T08:30:43.000Z,"?The red marble counter at Girandole by Alain Ducasse transforms into a morning buffet, where glass vessels form Écrin—a jewel box of seasonal flavors.?
?
From smoked salmon with crystal caviar and lobster salad to classic mousse au chocolat and crème caramel, each dish reflects refined sensibility.?
Paired with main dishes such as French toast and eggs Benedict, the morning unfolds in quiet indulgence.?
?
?????? by ??? ???????????????????????????????????????????????????????????????????????
?
????????????????????????????????????????????????????????????????????????????????????????????????????????
?
-------------------------------?
#ParkHyattTokyo #ParkHyatt?
#GirandolebyAlainDucasse ?
#LuxuryIsPersonal? ?
#??????????? ?
#??????by????????",ParkHyattTokyo,ParkHyatt?,GirandolebyAlainDucasse,LuxuryIsPersonal?,???????????,??????by????????,,,,,,,,,,,,,,,,,,,,,,,,,851,7,,
thepeninsulatokyo,2025-12-25T01:10:37.000Z,"?????????
????????????????????????????????????????

From our family at The Peninsula to yours, we send our warmest holiday wishes. May your celebrations be filled with joy, magic, and a touch of festive wonder.",????????,???????,???,?????,???????,??????,????,???,ThePeninsulaHotels,PenMoments,FestiveWishes,HolidaySpirit,,,,,,,,,,,,,,,,,,,240,3,,
thepeninsulatokyo,2025-12-07T03:00:00.000Z,"??????????????????????????????????????????

From the first mile, experience Tokyo the Peninsula way with seamless service and a smooth, effortless arrival.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283,2,,
parkhyatttokyo,2026-01-19T09:00:27.000Z,"?????????????????????????????????????????????????????????????????????????????????????????????????????????????? ???????????????????????????????????????? ????????????????????????????????
?
Seasonal premium savories and delicate sweets are served in an elegant, course-style afternoon tea. From warm, comforting bites to a Saint-Honoré and a subtly fragrant yuzu tart, each course unfolds with its own distinct character.?
?
To finish, a tableside trolley of freshly baked canelés and madeleines appears.?
Enjoy a joyful afternoon paired with aromatic teas.?
?
----------------------------------?
#ParkHyattTokyo? #ParkHyatt?
#AfternoonTea?
#??????????? ?
#??????????",ParkHyattTokyo?,ParkHyatt?,AfternoonTea?,???????????,??????????,,,,,,,,,,,,,,,,,,,,,,,,,,767,2,,
thepeninsulatokyo,2025-12-13T01:35:12.000Z,"?????????????????????Pen??????????????

?????????????????????????????????????????????

????12?13??14??20??21??24??25?
???13:00 / 15:00 / 17:00 ???30?

From today through Christmas, Pen Bear debuts his Santa attire for the festive season, greeting guests around the hotel and spreading holiday cheer. Don’t forget to snap a photo when you spot him??",thepeninsulatokyo,luxuryhotel,festive2025,Christmas,PenMoments,?????????,????????,??????2025,??????,?????,,,,,,,,,,,,,,,,,,,,,963,4,,
thepeninsulatokyo,2025-12-22T10:40:27.000Z,"?????????????????????

???24??Peter????1?1??????????????????????????
 
????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
 
????????????????????????????????????????????????????
 

Begin the New Year at new heights.

At Peter on the 24th floor, an exclusive semi-brunch awaits. Select your main course and enjoy a beautifully presented selection of appetizers, hors d’oeuvres, and desserts from our rolling wagon.",????????,???????,???,?????,??,thepeninsulatokyo,Peter,finedining,newyear,,,,,,,,,,,,,,,,,,,,,,299,3,,
parkhyatttokyo,2025-12-29T08:00:49.000Z,"As a dish is finished before your eyes, a quiet sense of anticipation fills the space. Wrapped in that lingering feeling, enjoy a refined dining experience.?
?
??????????????? ????????????????????????????? ?????????????????
?
-------------------------------?
#ParkHyattTokyo #ParkHyatt?
#GirandolebyAlainDucasse ?
#LuxuryIsPersonal? ?
#??????????? ?
#??????by????????",ParkHyattTokyo,ParkHyatt?,GirandolebyAlainDucasse,LuxuryIsPersonal?,???????????,??????by????????,,,,,,,,,,,,,,,,,,,,,,,,,677,1,,
thepeninsulatokyo,2025-12-16T11:07:18.000Z,"?????????????????????????????????????

12?20?????25?????????????????????????????????&??????????????????

???????????????????????????????????????????????????????????????????????????????????????????????????????????????????

?????????????????????????

Celebrate the festive season at Hei Fung Terrace, where Cantonese flavors take on a refined holiday touch.

Enjoy a thoughtfully crafted dinner course featuring abalone, spiny lobster, and Wagyu beef. Whether in a quiet private room or at the Chinese Chef’s Table, enjoy a celebration that feels intimate and truly special.",????????,???????,???,?????,???????,?????,thepeninsulatokyo,Heifungterrace,finedining,Festive2025,,,,,,,,,,,,,,,,,,,,,403,4,,
parkhyatttokyo,2026-01-10T13:45:50.000Z,"A library treasured through generations, where original design lives on beyond reopening. Around 2,000 thoughtfully curated books create a quiet sanctuary of comfort and calm.?
?
Find inspiration in the stillness of your stay.?
?
????????????????????
???????????????????????2,000?????????????????????????????????????????????????????
?
---------------------------?
#ParkHyattTokyo #ParkHyatt ? ?
#LuxuryIsPersonal ?#Library?
#?????????
#???????????",ParkHyattTokyo,ParkHyatt,LuxuryIsPersonal,Library?,?????????,???????????,,,,,,,,,,,,,,,,,,,,,,,,,704,6,,
parkhyatttokyo,2025-12-25T08:40:14.000Z,"May your Christmas be filled with warmth, joy, and gentle moments, shared with those closest to you.?
?
????????????????
??????????????????????????????????????????
?
-------------------------?
#ParkHyattTokyo? #ParkHyatt?
?#LuxuryIsPersonal ?#Christmas?
?#??????????? #?????????
#??????",ParkHyattTokyo?,ParkHyatt?,LuxuryIsPersonal,Christmas?,???????????,?????????,??????,,,,,,,,,,,,,,,,,,,,,,,,1441,7,,
parkhyatttokyo,2026-01-16T02:30:40.000Z,"High above the city, night settles quietly at the pool at Club On The Park.?
Soft light, still water, and a sense of calm—completely removed from the world below.?
?
An evening retreat for body and mind.?
?
?????????????47???????? ????? ???????????????????????????????????????
?
?????????????????????????????????????
?
-------------------------------?
#ParkHyattTokyo #ParkHyatt?
#Reopening #LuxuryIsPersonal? ?
#ClubOnThePark #Pool?
#???????????
#????? #??????????",ParkHyattTokyo,ParkHyatt?,Reopening,LuxuryIsPersonal?,ClubOnThePark,Pool?,???????????,?????,??????????,,,,,,,,,,,,,,,,,,,,,,983,4,,
thepeninsulatokyo,2025-12-18T06:40:33.000Z,"?????????????????
 
???????????????????????????????????????
 
Let the city become part of your story.
In the heart of Tokyo, our suites offer a calm retreat defined by thoughtful design, natural warmth, and inspiring views.",????????,???????,???,??????,?????,??????,thepeninsulatokyo,luxuryhotel,hotelstay,,,,,,,,,,,,,,,,,,,,,,336,7,,
thepeninsulatokyo,2025-12-09T10:44:14.000Z,"???????????????????????Peter????12/25????????????????????????????????????

??????????????????????????????
 

Looking for a festive way to celebrate the season? ?

This holiday, Peter, our Modern French restaurant on the 24th floor, welcomes you to savor the finest ingredients, from Hokkaido scallop, Blue Lobster to A5 Hida Sirloin. Subtle Japanese flavors and seasonal accents, such as yuzu and ume, add a refined touch to each dish.

Let Chef Yohan Da Costa’s creativity shape a holiday evening to remember.",????????,???????,???,?????,???????,?????,thepeninsulatokyo,Peter,finedining,modernfrench,Festive2025,,,,,,,,,,,,,,,,,,,,282,2,,
parkhyatttokyo,2026-01-01T01:50:16.000Z,"Happy New Year from Park Hyatt Tokyo.? We look forward to welcoming you throughout the year ahead.?

May 2026 bring you joy, inspiration, and memorable experiences.

????????????????????????????????????????????????????

2026?????????????????????????????
?
?
-------------------------------?
#ParkHyattTokyo #ParkHyatt?
#LuxuryIsPersonal? ?
#??????????? ?",ParkHyattTokyo,ParkHyatt?,LuxuryIsPersonal?,???????????,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,4,,
thepeninsulatokyo,2025-12-19T11:26:32.000Z,"???????????????????????????

???24??Peter?????????????????????????????????????????????????????????????????????????????????????????????

This festive season, each table tells a story at The Peninsula Tokyo.???

From festive modern French dining with skyline views at our rooftop restaurant Peter, to the refined Cantonese dining at Hei Fung Terrace, and the warm glow of live music and festive décor in The Lobby, every setting invites you to celebrate in your own way.",????????,???????,???,?????,???????,?????,thepeninsulatokyo,finedining,modernfrench,Festive2025,,,,,,,,,,,,,,,,,,,,,532,4,,
parkhyatttokyo,2026-01-03T06:00:46.000Z,"Bathed in soft natural light, The Peak Lounge & Bar is set within a soaring atrium framed by elegant bamboo greenery. In this serene and airy setting, indulge in a refined afternoon featuring seasonal sweets and exquisitely aromatic premium teas.?
?
?????????????????????????????????? ??????????????????????????????????????????????????????????????????????
?
----------------------------------?
#ParkHyattTokyo? #ParkHyatt?
?#LuxuryIsPersonal ?#PeakLounge?
#??????????? #?????????
#???????",ParkHyattTokyo?,ParkHyatt?,LuxuryIsPersonal,PeakLounge?,???????????,?????????,???????,,,,,,,,,,,,,,,,,,,,,,,,1255,3,,
parkhyatttokyo,2025-12-31T07:00:21.000Z,"This year marked a meaningful new chapter for Park Hyatt Tokyo with our reopening. We extend our sincere gratitude to all who have supported us and shared this journey.?
?
As the year draws to a close, we wish you moments of peace and reflection,? and we look forward to welcoming you for many memorable experiences in 2026.?
?
?
???????????????? ????? ????????????????????????????????????????????????????
?
??2026?????????????????????????????

?????????????????
?
?
-------------------------------?
#ParkHyattTokyo #ParkHyatt?
#LuxuryIsPersonal? ?
#??????????? ?",ParkHyattTokyo,ParkHyatt?,LuxuryIsPersonal?,???????????,,,,,,,,,,,,,,,,,,,,,,,,,,,1627,11,,
parkhyatttokyo,2026-01-05T08:30:18.000Z,"Each dish is delicately composed to reveal the essence of seasonal ingredients, presented on finely crafted Japanese tableware. Within every plate, the quiet rhythm of the seasons and Kozue’s refined aesthetic gently unfold.?
?
??????????????????????
???????????????????????????????????????????????
?
----------------------------------?
#ParkHyattTokyo? #ParkHyatt?
?#LuxuryIsPersonal ?#Kozue?
#??????????? #?????????
#? #????",ParkHyattTokyo?,ParkHyatt?,LuxuryIsPersonal,Kozue?,???????????,?????????,?,????,,,,,,,,,,,,,,,,,,,,,,,607,3,,
thepeninsulatokyo,2025-12-20T07:27:14.000Z,"????????????????????????????

?????????????????????????????????????????????

With Christmas around the corner, follow a trail of festive light to The Peninsula Tokyo’s Christmas Market, where joyful discoveries await?",thepeninsulatokyo,luxuryhotel,Christmas,ChristmasMarket,PenMoments,?????????,????????,?????,??????????,,,,,,,,,,,,,,,,,,,,,,851,7,,
thecapitolhoteltokyu,2026-01-02T03:01:28.000Z,"??????????????????????
???????????????????????????????????????????????
 
A quiet beginning to the New Year.
Rooted in tradition, a sense of calm, dignity, and timeless elegance.

#??????????? #TheCapitolHotelTokyu #??",???????????,TheCapitolHotelTokyu,??,,,,,,,,,,,,,,,,,,,,,,,,,,,,672,8,,
thecapitolhoteltokyu,2025-12-04T12:00:17.000Z,"??????????????????????????
????????????????????????????????????

This Christmas tree–shaped pin, made from thinned wood, is worn by our staff as a quiet nod to nature and the season.

#TheCapitolHotelTokyu #TokyoluxuaryHotel #FiveStarHotelTokyo #SustainableHotel #SDGs #??????????? #?????????? #???????????? #?? #5????? #??????",TheCapitolHotelTokyu,TokyoluxuaryHotel,FiveStarHotelTokyo,SustainableHotel,SDGs,???????????,??????????,????????????,??,5?????,??????,,,,,,,,,,,,,,,,,,,,252,0,,
fstokyo,2026-01-12T10:42:06.000Z,"Burger Nights, the irresistible mid-week menu at @maisonmarunouchi .

Choose your pick: smoky bacon, caramelised at the edges; wagyu crowned with creamy Shirokabi (bloomy rind); or spiced merguez lamb, fragrant with herbs and a kick of heat. Each is tucked into a housemade potato bun that’s fresh from the oven, bronzed and faintly sweet. Pair it with a local craft beer flight, curated exclusively for this menu, and treat yourself to a table. Reservations are available online.

??????????????????????
@maisonmarunouchi ???????????

??????????????????
??? ?????????????
????3?????????????

???????????????
????????????????????
??????????????????????????
???????????????????
??????????

????????????????????
?????????????
??????????????
??????????????????????

?????????????????????
????????????????????????

?MAISON MARUNOUCHI???? ??????????????????????????????
???????????3?????
???????????????????

???????????
???? @maisonmarunouchi ?
???????????????????",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,0,,
fstokyo,2025-12-11T05:46:38.000Z,"Festive evenings call for champagne. New Year’s Eve calls for a little more.

The New Year’s countdown at @maisonmarunouchi Bar & Champagne Lounge gathers live jazz, free-flow champagne and wine, and an intimate celebration in the heart of the city. An evening shaped by good company, easy conversation, and beautifully crafted canapés, from Wagyu cheeseburgers to black winter truffle croque madame and desserts from our pastry team, it’s a brilliant way to meet the year to come. Join us from the link in bio.

?????????????????????????
??????? ??????????????????????????????????????

?????????????????????????????????????????????????????????????????????????????????????????????????????

??????????????????????????????????????????

??L?12?31????
???22:00?
???35,000?
???????????????????????",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,3,,
fstokyo,2026-01-01T05:29:12.000Z,"The new year arrives with blue skies, fresh intentions, and a few new temptations.

From January 2, two favourites return to the table: the ever-popular Strawberry & Chocolate Afternoon Tea and the Strawberry & Pistachio Mille-Feuille. The ichigo theme continues in delicious style, including three striking winter strawberry cocktails.

And because some riturals deserve an encore: weekday exclusive Steak Nights and Burger Nights will keep bringing that effortless midweek buzz to @maisonmarunouchi, just as they did in 2025.

Welcome, January 2026.

??????????????????

2026??????????????????????????

???1?2?(?)?????????????&?????????????????????????????????????????????????????????????????????????????????????????????????

??&????????????????????????????????????????????????????????????????????????????????????????????????????

@maisonmarunouchi ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????

????????????????????????",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,2,,
fstokyo,2025-12-19T09:50:00.000Z,"Festivities all around. The season of gift giving, golden moments, and sparkling lights. #FSholiday

??????????????????????????????
?
??????????????????????????????????????????????????????????????????????
?
???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????",FSholiday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,0,,
thecapitolhoteltokyu,2025-12-08T12:00:16.000Z,"??????????????????????????????????????????????????????????????????????????
The trees beyond the window hold a trace of colour, adding a warm accent to the evening at the bar. As the temperature drops outside, the space remains a haven of comfort and ease.

#??????????? #TheCapitolHotelTokyu #??",???????????,TheCapitolHotelTokyu,??,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,0,,
thecapitolhoteltokyu,2025-12-19T12:00:00.000Z,"?????????????????????????????????
???????????????????????????????????????????????????????????????????????????????

A refined sake that mirrors the spirit of Japanese cuisine.
At Japanese Restaurant Suiren, savour the restaurant’s signature Daiginjo, crafted with balance and clarity. Its floral aroma, graceful acidity, and crisp dry finish perfectly complement the artistry of Japanese dishes.

#??????????? #TheCapitolHotelTokyu #??",???????????,TheCapitolHotelTokyu,??,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,0,,
fstokyo,2026-01-06T10:51:01.000Z,"Winter’s sweetest fixation has arrived.
 
Expect the season’s berries at their brightest, paired with decadent chocolate in @maisonmarunouchi’s Strawberry & Chocolate Afternoon Tea. Served on the stand is a vivid lineup of sweets and seasonal savouries, from a strawberry and pistachio macaron shaped like the fruit itself to a Marunouchi pulled pork burger and tiered chocolate cake, each meticulously finished by our talented pastry team. Join us in the Champagne Lounge and settle into a languid winter afternoon.
 
????????????????????????????????? ????????????????????????
??????????? ??????????????????????????????????????????????????????????????????????
 
?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
 
???????????????????????????????????????????????????

??????&?????? ?????????
??: 1?2?(?)?2?28?(?)
??: ?? 8,300????? 9,500?
???? @maisonmarunouchi ??????????

#?????????",?????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328,3,,
thecapitolhoteltokyu,2025-12-20T12:00:00.000Z,"????????????????????????????
??????????????????????????????????????????????????????????????????????????

Tokyo in winter, gently illuminated?
Grand Christmas trees and light-lined streets invite you into an evening that feels worlds away from the everyday.

Just moments from the hotel, discover unforgettable scenes of seasonal sparkle and savour a truly magical Christmas moment.

#TheCapitolHotelTokyu #TokyoIllumination #ChristmasInTokyo",TheCapitolHotelTokyu,TokyoIllumination,ChristmasInTokyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,2,,
fstokyo,2025-12-31T10:20:00.000Z,"Hearts are full as we look back on some of our favourite memories from 2025. 

Thank you for the love and support along the way, and here’s to a spectacular end of the year. We look forward to welcoming you back in 2026. ??

?????????????????????????
??????????????????????????????????????????????????????@sezannetokyo ????????????????????????????1?????????????????????????????????????????????????????????????????????????????????????

?????????????????????????????????????????????????????????????",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,1,,
